code,group_prefix,location
8정-13,8정,8정-13
임1-13,임1,임1-13
1-14,1,1-14
7-14,7,7-14
8-14,8,8-14
12-14,12,12-14
57-14,57,57-14
51-14,51,51-14
53-14,53,53-14
56-14,56,56-14
60-14,60,60-14
금어-14,금어,금어-14
GH-14,GH,GH-14
GL-14,GL,GL-14
G-14,G,G-14
BH-14,BH,BH-14
Ts-14,Ts,Ts-14
백-14,백,백-14
오-14,오,오-14
소3-14,소3,소3-14
소1-14,소1,소1-14
종-14,종,종-14
PP-14,PP,PP-14
복-14,복,복-14
생-14,생,생-14
BJ-14,BJ,BJ-14
JJs-14,JJs,JJs-14
JJ-14,JJ,JJ-14
TD-14,TD,TD-14
TU-14,TU,TU-14
PS-14,PS,PS-14
Bd-14,Bd,Bd-14
아-14,아,아-14
어-14,어,어-14
어정-14,어정,어정-14
무-14,무,무-14
Jh-14,Jh,Jh-14
H-14,H,H-14
8정-14,8정,8정-14
임1-14,임1,임1-14
1-15,1,1-15
7-15,7,7-15
8-15,8,8-15
12-15,12,12-15
57-15,57,57-15
51-15,51,51-15
53-15,53,53-15
56-15,56,56-15
60-15,60,60-15
금어-15,금어,금어-15
GH-15,GH,GH-15
GL-15,GL,GL-15
G-15,G,G-15
BH-15,BH,BH-15
Ts-15,Ts,Ts-15
백-15,백,백-15
오-15,오,오-15
소3-15,소3,소3-15
소1-15,소1,소1-15
종-15,종,종-15
PP-15,PP,PP-15
생-15,생,생-15
BJ-15,BJ,BJ-15
JJs-15,JJs,JJs-15
JJ-15,JJ,JJ-15
TD-15,TD,TD-15
TU-15,TU,TU-15
PS-15,PS,PS-15
Bd-15,Bd,Bd-15
아-15,아,아-15
어-15,어,어-15
어정-15,어정,어정-15
무-15,무,무-15
Jh-15,Jh,Jh-15
H-15,H,H-15
8정-15,8정,8정-15
임1-15,임1,임1-15
1-16,1,1-16
7-16,7,7-16
8-16,8,8-16
12-16,12,12-16
57-16,57,57-16
51-16,51,51-16
53-16,53,53-16
56-16,56,56-16
60-16,60,60-16
금어-16,금어,금어-16
GH-16,GH,GH-16
GL-16,GL,GL-16
G-16,G,G-16
BH-16,BH,BH-16
Ts-16,Ts,Ts-16
백-16,백,백-16
오-16,오,오-16
소3-16,소3,소3-16
소1-16,소1,소1-16
PP-16,PP,PP-16
생-16,생,생-16
BJ-16,BJ,BJ-16
JJs-16,JJs,JJs-16
JJ-16,JJ,JJ-16
TD-16,TD,TD-16
TU-16,TU,TU-16
PS-16,PS,PS-16
아-16,아,아-16
어-16,어,어-16
어정-16,어정,어정-16
무-16,무,무-16
Jh-16,Jh,Jh-16
H-16,H,H-16
8정-16,8정,8정-16
임1-16,임1,임1-16
1-17,1,1-17
7-17,7,7-17
8-17,8,8-17
12-17,12,12-17
57-17,57,57-17
51-17,51,51-17
53-17,53,53-17
56-17,56,56-17
60-17,60,60-17
금어-17,금어,금어-17
GH-17,GH,GH-17
GL-17,GL,GL-17
G-17,G,G-17
BH-17,BH,BH-17
Ts-17,Ts,Ts-17
백-17,백,백-17
오-17,오,오-17
소3-17,소3,소3-17
소1-17,소1,소1-17
생-17,생,생-17
BJ-17,BJ,BJ-17
JJs-17,JJs,JJs-17
JJ-17,JJ,JJ-17
TD-17,TD,TD-17
PS-17,PS,PS-17
아-17,아,아-17
어-17,어,어-17
어정-17,어정,어정-17
무-17,무,무-17
8정-17,8정,8정-17
임1-17,임1,임1-17
1-18,1,1-18
7-18,7,7-18
8-18,8,8-18
12-18,12,12-18
57-18,57,57-18
51-18,51,51-18
53-18,53,53-18
56-18,56,56-18
60-18,60,60-18
금어-18,금어,금어-18
GH-18,GH,GH-18
GL-18,GL,GL-18
BH-18,BH,BH-18
Ts-18,Ts,Ts-18
백-18,백,백-18
오-18,오,오-18
소3-18,소3,소3-18
소1-18,소1,소1-18
생-18,생,생-18
BJ-18,BJ,BJ-18
JJs-18,JJs,JJs-18
JJ-18,JJ,JJ-18
TD-18,TD,TD-18
PS-18,PS,PS-18
아-18,아,아-18
어-18,어,어-18
어정-18,어정,어정-18
무-18,무,무-18
8정-18,8정,8정-18
1-19,1,1-19
7-19,7,7-19
8-19,8,8-19
12-19,12,12-19
57-19,57,57-19
51-19,51,51-19
53-19,53,53-19
56-19,56,56-19
60-19,60,60-19
금어-19,금어,금어-19
GH-19,GH,GH-19
GL-19,GL,GL-19
BH-19,BH,BH-19
Ts-19,Ts,Ts-19
백-19,백,백-19
오-19,오,오-19
소1-19,소1,소1-19
생-19,생,생-19
JJs-19,JJs,JJs-19
JJ-19,JJ,JJ-19
TD-19,TD,TD-19
PS-19,PS,PS-19
아-19,아,아-19
어-19,어,어-19
어정-19,어정,어정-19
무-19,무,무-19
1-20,1,1-20
8-20,8,8-20
12-20,12,12-20
57-20,57,57-20
51-20,51,51-20
53-20,53,53-20
56-20,56,56-20
60-20,60,60-20
GH-20,GH,GH-20
GL-20,GL,GL-20
BH-20,BH,BH-20
Ts-20,Ts,Ts-20
백-20,백,백-20
오-20,오,오-20
소1-20,소1,소1-20
생-20,생,생-20
JJs-20,JJs,JJs-20
JJ-20,JJ,JJ-20
TD-20,TD,TD-20
PS-20,PS,PS-20
아-20,아,아-20
어-20,어,어-20
어정-20,어정,어정-20
무-20,무,무-20
1-21,1,1-21
57-21,57,57-21
51-21,51,51-21
53-21,53,53-21
56-21,56,56-21
60-21,60,60-21
GH-21,GH,GH-21
GL-21,GL,GL-21
BH-21,BH,BH-21
Ts-21,Ts,Ts-21
백-21,백,백-21
오-21,오,오-21
소1-21,소1,소1-21
생-21,생,생-21
JJ-21,JJ,JJ-21
TD-21,TD,TD-21
PS-21,PS,PS-21
아-21,아,아-21
어-21,어,어-21
어정-21,어정,어정-21
무-21,무,무-21
1-22,1,1-22
57-22,57,57-22
51-22,51,51-22
53-22,53,53-22
56-22,56,56-22
60-22,60,60-22
GH-22,GH,GH-22
GL-22,GL,GL-22
BH-22,BH,BH-22
Ts-22,Ts,Ts-22
백-22,백,백-22
오-22,오,오-22
생-22,생,생-22
TD-22,TD,TD-22
PS-22,PS,PS-22
아-22,아,아-22
어-22,어,어-22
어정-22,어정,어정-22
무-22,무,무-22
1-23,1,1-23
57-23,57,57-23
51-23,51,51-23
53-23,53,53-23
56-23,56,56-23
60-23,60,60-23
GH-23,GH,GH-23
GL-23,GL,GL-23
Ts-23,Ts,Ts-23
백-23,백,백-23
오-23,오,오-23
생-23,생,생-23
TD-23,TD,TD-23
PS-23,PS,PS-23
아-23,아,아-23
어-23,어,어-23
어정-23,어정,어정-23
무-23,무,무-23
1-24,1,1-24
57-24,57,57-24
51-24,51,51-24
53-24,53,53-24
56-24,56,56-24
60-24,60,60-24
GH-24,GH,GH-24
GL-24,GL,GL-24
Ts-24,Ts,Ts-24
백-24,백,백-24
오-24,오,오-24
생-24,생,생-24
TD-24,TD,TD-24
PS-24,PS,PS-24
아-24,아,아-24
어-24,어,어-24
어정-24,어정,어정-24
1-25,1,1-25
57-25,57,57-25
51-25,51,51-25
53-25,53,53-25
56-25,56,56-25
60-25,60,60-25
GH-25,GH,GH-25
GL-25,GL,GL-25
Ts-25,Ts,Ts-25
백-25,백,백-25
오-25,오,오-25
생-25,생,생-25
TD-25,TD,TD-25
PS-25,PS,PS-25
아-25,아,아-25
어-25,어,어-25
어정-25,어정,어정-25
1-26,1,1-26
57-26,57,57-26
51-26,51,51-26
53-26,53,53-26
56-26,56,56-26
60-26,60,60-26
GH-26,GH,GH-26
GL-26,GL,GL-26
Ts-26,Ts,Ts-26
백-26,백,백-26
오-26,오,오-26
생-26,생,생-26
TD-26,TD,TD-26
PS-26,PS,PS-26
아-26,아,아-26
어-26,어,어-26
어정-26,어정,어정-26
1-27,1,1-27
57-27,57,57-27
51-27,51,51-27
53-27,53,53-27
56-27,56,56-27
60-27,60,60-27
GH-27,GH,GH-27
GL-27,GL,GL-27
Ts-27,Ts,Ts-27
백-27,백,백-27
오-27,오,오-27
생-27,생,생-27
TD-27,TD,TD-27
PS-27,PS,PS-27
어-27,어,어-27
어정-27,어정,어정-27
1-28,1,1-28
57-28,57,57-28
51-28,51,51-28
53-28,53,53-28
56-28,56,56-28
60-28,60,60-28
GH-28,GH,GH-28
GL-28,GL,GL-28
Ts-28,Ts,Ts-28
백-28,백,백-28
오-28,오,오-28
생-28,생,생-28
TD-28,TD,TD-28
PS-28,PS,PS-28
어-28,어,어-28
어정-28,어정,어정-28
1-29,1,1-29
57-29,57,57-29
51-29,51,51-29
53-29,53,53-29
